correlation_id,incident_type,is_risky,severity,mitre_technique,description
corr-56af8b0ccac94a9f,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-9be3c4d9dfff4542,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-2ffb2a1f1b45405c,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-44f834fed5bf4222,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-4a2b692ab5d9421f,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-865c8ae617e54ce6,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-2d7df020797446d6,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-014b9249bc3b4ae3,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-16e18d34813746eb,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-1204be8865f64a3a,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-7c1603f71c874ea7,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-d40fed836c7547bf,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-96cba1d396c9443e,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-9c90a93429d24582,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-18a0a7187a544f63,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-89909422a8c245a9,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-15d89eeb716b475f,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-26d2b5b4a08649dc,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-b3e4593433a74b03,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
corr-6c9d910808894a47,routine_ephemeral,False,info,,Routine ephemeral resource lifecycle: short-lived compute or storage within expected parameters.
